SEXO,IDADE,RACA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,RENDA_FAMILIAR,BOLSA_ESTUDANTIL,INTERCAMBIO,TRABALHO_DURANTE_GRAD,COTAS,PERMANENCIA_PROLONGADA
M,19.0,A,E,D,G,A,A,A,A,0
M,19.0,D,F,D,F,A,A,A,D,0
M,20.0,C,E,E,C,A,B,D,A,0
M,19.0,A,E,E,E,A,A,D,A,1
M,18.0,A,E,E,F,A,A,B,A,0
M,18.0,A,F,F,G,A,B,D,D,0
M,17.0,A,D,E,D,A,A,A,A,0
M,18.0,A,E,F,F,A,B,A,A,0
M,20.0,A,C,C,F,D,A,D,D,0
M,18.0,A,E,F,F,A,E,A,A,0
M,18.0,A,D,E,F,A,C,A,A,1
M,18.0,A,E,E,F,A,B,C,A,0
M,19.0,A,D,E,D,A,A,A,A,0
M,19.0,A,E,E,F,A,B,E,A,0
M,19.0,D,E,E,G,A,F,A,D,1
M,19.0,A,F,F,F,A,B,A,A,0
M,18.0,A,E,F,B,A,B,A,A,0
M,18.0,D,E,E,F,A,A,A,A,0
M,18.0,A,E,F,E,A,B,D,A,0
M,19.0,C,C,D,C,D,B,A,D,0
M,18.0,A,D,F,E,A,A,A,A,0
M,21.0,C,B,B,C,D,C,D,E,0
M,20.0,A,E,E,F,A,A,A,A,1
M,18.0,A,D,D,C,A,E,A,A,0
M,23.0,A,D,C,D,A,C,A,A,0
F,19.0,A,F,E,G,A,A,A,A,0
M,19.0,C,E,E,D,A,F,A,A,1
M,18.0,A,E,E,F,A,A,D,A,0
M,20.0,D,E,F,D,A,A,C,A,0
M,17.0,A,E,D,E,A,C,A,A,0
M,19.0,A,C,E,B,A,B,A,D,0
M,21.0,A,E,E,F,A,B,A,A,0
F,18.0,C,E,E,E,A,A,C,A,0
M,20.0,A,F,F,F,A,B,A,A,0
M,19.0,A,D,D,B,D,B,A,A,0
M,18.0,A,D,D,B,A,B,A,A,0
M,19.0,A,F,E,F,A,B,D,A,0
M,20.0,A,E,E,E,A,A,A,A,0
F,18.0,A,E,E,G,A,B,A,A,0
M,18.0,A,E,D,E,A,F,E,A,1
M,22.0,A,B,D,F,A,A,E,A,1
M,19.0,A,B,E,C,A,A,A,A,1
M,20.0,A,D,D,E,A,A,A,A,0
M,17.0,A,D,D,E,A,A,A,A,1
M,27.0,D,D,E,F,A,A,E,A,0
M,18.0,A,E,D,F,A,A,A,A,1
M,17.0,A,E,D,B,A,A,A,A,1
M,22.0,C,D,E,F,A,A,E,A,0
M,21.0,B,F,F,G,A,A,A,A,0
M,19.0,C,E,F,E,A,A,A,A,1
M,21.0,C,E,F,D,A,A,D,A,1
F,19.0,A,E,E,C,A,A,E,A,1
M,21.0,A,F,F,E,A,F,C,A,1
M,17.0,C,D,D,C,A,A,A,D,0
M,18.0,A,D,E,B,A,A,A,A,1
M,19.0,A,D,E,F,A,A,A,A,0
F,20.0,C,D,D,B,A,A,A,A,1
F,21.0,A,E,D,F,A,F,A,A,0
M,19.0,A,D,E,F,A,A,E,A,1
M,19.0,B,E,E,F,A,A,A,A,1
M,18.0,A,E,E,F,A,A,B,A,1
M,18.0,A,E,D,B,A,A,A,A,1
M,19.0,A,E,D,E,A,A,E,A,0
M,20.0,C,E,E,E,A,A,C,A,1
M,20.0,B,E,D,C,A,A,A,A,0
M,19.0,A,D,D,D,A,A,E,A,1
M,19.0,A,D,F,E,A,A,E,A,1
M,18.0,A,D,D,E,A,A,A,A,1
M,18.0,A,E,E,G,A,F,E,A,1
M,19.0,A,D,D,F,A,A,E,A,1
M,18.0,B,B,D,E,A,A,E,A,1
M,20.0,C,E,E,D,A,A,E,A,1
F,35.0,C,A,B,C,A,A,E,A,1
M,20.0,A,E,E,E,A,A,E,A,1
M,18.0,D,E,B,E,A,B,A,A,0
F,21.0,A,D,D,D,A,A,A,D,0
M,17.0,A,E,E,E,A,A,A,A,0
M,18.0,A,D,E,C,A,A,A,A,0
M,22.0,A,D,D,C,A,A,A,A,0
M,19.0,A,D,D,D,A,A,A,A,0
M,18.0,A,E,E,E,A,A,A,A,0
M,22.0,A,D,E,B,A,A,A,A,0
M,18.0,A,E,D,E,A,B,C,A,0
M,18.0,A,E,E,F,A,A,A,A,0
M,20.0,A,E,E,E,A,A,A,A,0
M,19.0,A,C,F,D,A,A,A,A,1
F,20.0,A,B,F,C,D,A,A,A,0
M,26.0,A,F,E,F,A,F,A,A,0
M,22.0,A,C,D,A,C,B,C,A,0
M,19.0,A,D,F,E,A,B,A,A,1
M,21.0,A,D,C,E,A,A,A,A,1
M,22.0,A,B,F,D,A,B,A,A,0
M,19.0,A,E,D,C,A,A,A,A,0
F,20.0,A,E,E,E,A,B,A,A,0
M,19.0,A,F,E,E,A,A,A,A,0
M,19.0,A,E,E,F,A,B,A,A,0
F,19.0,A,D,D,F,A,B,D,A,0
M,20.0,C,E,E,C,A,B,C,A,0
M,19.0,A,E,F,D,A,A,A,A,1
M,20.0,A,E,E,F,A,B,A,A,0
M,20.0,C,D,E,D,D,B,E,A,0
M,18.0,A,F,E,F,F,B,A,A,0
M,21.0,D,D,D,C,A,B,A,A,0
M,20.0,D,D,D,E,A,A,A,A,1
M,18.0,A,E,E,E,D,B,E,A,0
M,20.0,A,E,D,C,A,B,A,A,0
M,17.0,A,D,E,D,A,A,A,A,0
F,18.0,A,E,E,F,A,B,A,A,0
M,18.0,A,E,E,F,A,B,E,A,0
F,18.0,A,E,E,D,A,F,D,A,0
M,18.0,A,E,E,E,A,B,A,A,0
M,18.0,A,F,F,F,A,B,A,A,0
M,18.0,A,E,F,F,A,B,A,A,0
M,18.0,A,F,F,F,A,A,D,A,0
M,20.0,A,D,D,E,A,A,A,A,1
M,25.0,C,D,E,B,A,B,A,A,0
M,19.0,A,D,F,F,A,A,A,A,1
M,21.0,C,F,F,D,A,A,E,A,1
M,18.0,C,E,C,C,C,A,C,A,0
M,20.0,A,E,E,F,A,A,E,A,0
M,19.0,A,E,D,E,A,B,D,A,0
M,20.0,A,B,C,B,D,B,A,A,0
M,19.0,A,E,E,F,A,B,A,A,0
M,19.0,A,F,F,E,A,A,A,A,0
M,19.0,A,F,D,C,A,A,A,A,0
M,22.0,A,D,E,D,A,B,A,A,0
M,19.0,A,F,D,F,A,B,A,A,0
M,24.0,C,D,C,C,D,A,D,A,0
M,19.0,A,D,E,E,C,A,A,A,1
M,21.0,C,E,D,D,A,A,A,A,1
M,18.0,A,C,F,E,A,A,A,A,0
M,19.0,B,E,D,A,A,A,A,A,1
M,21.0,A,D,D,C,A,A,A,A,1
M,19.0,A,D,F,A,A,A,A,A,1
M,18.0,A,F,E,F,A,A,A,A,1
M,18.0,A,D,D,B,C,A,A,A,0
F,18.0,A,D,E,G,A,A,A,A,1
M,19.0,C,D,D,F,A,A,C,A,1
M,18.0,C,D,D,D,D,A,A,A,1
M,27.0,A,B,B,B,C,A,D,A,0
M,18.0,A,D,C,C,A,A,A,A,1
M,20.0,C,A,B,C,C,A,B,D,1
M,20.0,C,D,D,B,C,A,C,A,1
M,21.0,A,E,D,F,A,A,A,A,0
M,21.0,A,E,F,F,A,A,A,A,0
M,22.0,A,E,E,E,A,C,A,A,0
M,22.0,C,E,D,D,A,A,A,A,0
M,20.0,C,D,E,B,A,A,A,A,0
M,21.0,A,E,E,E,A,A,A,A,0
M,23.0,A,D,D,D,A,A,E,A,0
M,21.0,C,D,D,C,A,A,A,A,0
M,22.0,C,D,C,C,A,A,C,A,0
F,21.0,C,E,E,D,A,B,A,A,0
M,22.0,C,D,F,D,A,A,C,A,0
M,23.0,A,D,D,C,A,A,A,A,0
M,21.0,A,F,F,E,A,A,A,A,0
M,19.0,B,D,D,C,A,A,A,A,1
M,28.0,C,C,B,B,A,A,D,A,1
M,22.0,A,D,D,E,A,A,A,A,0
M,19.0,C,D,D,E,A,B,A,A,1
M,19.0,B,B,D,A,D,A,A,A,0
M,20.0,A,E,F,F,A,A,A,A,0
F,22.0,C,D,E,G,A,B,A,A,0
M,19.0,A,D,D,E,A,A,B,A,1
M,19.0,C,B,D,C,A,A,A,D,0
F,22.0,A,E,D,B,A,A,E,A,0
M,19.0,A,E,E,B,A,A,C,A,1
M,18.0,C,F,E,E,A,A,D,A,1
M,25.0,C,E,E,F,A,A,D,A,1
M,23.0,A,B,C,D,A,A,C,A,0
M,18.0,C,D,B,D,A,A,E,A,1
M,22.0,C,D,D,A,A,A,B,A,1
F,20.0,A,D,F,B,A,A,E,A,0
M,20.0,C,D,C,E,A,A,E,D,1
M,19.0,C,D,D,F,A,A,E,D,1
M,24.0,C,C,D,C,A,A,D,D,1
M,19.0,A,F,F,F,A,B,A,A,0
M,20.0,A,D,F,G,A,A,E,A,1
M,21.0,C,B,D,A,A,A,A,D,0
M,19.0,A,D,D,F,A,A,D,A,1
M,18.0,A,F,E,E,A,A,A,A,1
M,18.0,A,F,D,D,A,A,D,A,0
M,18.0,C,E,E,F,A,A,E,A,0
M,19.0,C,D,D,F,A,A,E,A,1
M,19.0,B,D,F,F,A,A,E,A,1
M,19.0,C,E,E,F,A,A,A,A,1
M,18.0,C,E,D,F,A,A,A,D,0
M,17.0,A,D,D,E,A,A,D,A,1
M,19.0,A,C,E,E,A,A,A,A,0
M,21.0,A,E,E,F,A,A,E,A,1
M,17.0,A,D,D,D,A,A,D,D,0
M,20.0,A,D,D,D,A,A,D,A,1
M,17.0,C,C,D,C,A,A,E,A,1
M,19.0,C,A,D,D,A,A,E,A,1
M,19.0,C,E,F,E,A,A,D,A,1
F,18.0,C,D,D,D,A,A,E,A,1
M,20.0,B,F,F,F,A,A,D,A,1
M,20.0,A,D,D,F,A,A,A,A,0
F,19.0,A,E,E,E,A,B,A,A,0
M,19.0,A,E,F,F,A,A,C,A,0
M,18.0,C,D,B,B,A,A,A,D,1
M,18.0,B,D,E,D,E,A,A,D,0
M,22.0,C,D,D,D,A,A,D,A,1
M,19.0,C,D,F,B,A,A,D,A,1
M,21.0,A,D,D,F,A,B,D,A,1
M,19.0,B,E,F,E,A,A,A,A,1
M,19.0,A,E,F,F,A,A,E,A,1
M,18.0,A,E,D,E,A,A,D,A,0
M,18.0,C,E,E,E,A,A,A,A,1
M,19.0,A,D,C,C,A,B,D,A,0
M,23.0,C,D,D,E,A,A,E,A,0
M,21.0,A,E,D,F,A,A,D,A,1
M,18.0,C,D,D,F,A,A,E,D,0
M,19.0,A,F,E,E,A,B,A,D,1
M,19.0,C,D,D,B,A,A,A,D,1
M,18.0,A,E,F,D,A,A,C,A,0
M,19.0,C,D,D,A,A,A,C,A,0
M,22.0,C,D,D,E,A,A,D,A,0
M,19.0,C,C,D,D,A,A,E,A,1
F,18.0,C,E,E,E,A,A,D,A,0
M,18.0,C,E,E,F,A,A,E,A,1
M,19.0,C,D,E,D,A,E,D,A,1
M,19.0,C,E,F,F,A,B,D,A,1
M,19.0,B,D,D,C,A,A,E,A,1
M,21.0,A,D,F,D,A,A,C,D,1
M,18.0,C,F,F,E,A,E,A,A,0
M,19.0,A,D,E,E,A,A,D,A,1
M,19.0,A,F,D,F,A,C,A,A,1
M,18.0,A,E,E,F,A,A,D,A,1
M,17.0,B,E,D,E,F,E,E,A,1
M,25.0,A,E,E,B,A,A,E,A,1
M,19.0,A,D,E,F,A,A,A,A,0
M,18.0,A,D,F,F,A,A,D,A,0
F,18.0,C,E,F,F,A,A,D,A,0
M,20.0,C,F,E,F,A,A,E,A,1
F,16.0,A,E,E,E,A,B,E,A,1
F,18.0,A,F,E,E,A,A,D,A,0
M,21.0,A,D,D,C,A,A,E,A,1
M,19.0,A,E,D,F,A,A,E,A,1
M,18.0,A,E,C,E,A,A,A,A,0
M,18.0,A,F,F,E,A,B,C,A,1
M,19.0,A,F,E,F,A,A,D,A,0
M,19.0,A,F,E,D,A,A,E,A,1
M,19.0,A,D,F,E,A,A,D,A,1
F,18.0,A,D,D,E,A,A,E,A,0
F,18.0,A,D,F,E,A,B,A,A,0
M,20.0,A,E,E,D,A,A,E,A,1
M,18.0,A,D,D,C,A,E,D,A,0
M,18.0,C,D,E,C,A,A,E,A,1
M,18.0,C,D,D,C,A,C,B,D,0
M,20.0,A,B,C,C,A,A,A,A,0
M,17.0,C,A,B,A,A,A,A,D,0
M,21.0,B,D,C,C,A,A,E,D,1
M,18.0,C,D,E,C,A,A,E,A,1
M,18.0,C,C,C,E,E,A,A,E,0
M,20.0,A,E,E,A,A,A,B,A,1
M,19.0,A,E,E,D,A,A,E,A,1
M,17.0,A,D,D,D,A,B,A,A,0
F,18.0,D,E,D,B,A,A,B,A,1
M,22.0,A,C,A,A,A,A,A,A,1
M,24.0,C,A,B,B,A,A,B,A,1
M,18.0,A,D,D,C,A,A,A,A,0
M,20.0,A,D,D,D,A,A,E,A,1
M,18.0,A,D,F,D,A,A,C,A,1
M,18.0,B,D,B,D,A,A,A,A,1
M,20.0,A,C,C,D,A,A,A,A,1
M,18.0,A,D,E,C,A,C,A,C,1
M,18.0,C,F,E,E,A,A,A,A,0
M,18.0,A,B,B,E,A,A,E,A,0
M,20.0,A,E,E,E,A,A,E,A,1
M,19.0,A,D,E,G,A,F,A,A,0
M,18.0,C,E,E,F,A,A,D,A,1
M,19.0,A,B,D,D,A,E,D,A,1
M,20.0,C,D,F,E,A,A,D,A,1
M,24.0,A,E,E,D,A,A,D,A,1
M,18.0,C,C,E,E,A,A,E,A,1
M,18.0,A,F,E,F,A,B,A,A,1
M,18.0,A,D,D,B,A,A,C,D,0
M,19.0,A,D,F,E,A,A,E,A,1
M,21.0,C,E,E,F,A,B,A,A,0
M,18.0,A,B,F,D,A,A,E,A,1
M,18.0,A,F,F,E,A,F,D,A,0
F,19.0,A,D,D,B,A,A,E,A,0
M,21.0,C,D,D,A,A,A,E,A,0
M,19.0,A,E,E,C,A,A,A,A,0
M,17.0,C,D,C,B,A,A,B,A,1
M,17.0,A,C,C,E,A,A,E,A,0
M,18.0,A,C,B,A,A,A,B,A,0
M,19.0,C,F,F,F,A,A,A,D,0
M,20.0,A,D,D,D,A,A,D,D,0
M,18.0,A,D,D,E,A,A,E,A,0
M,18.0,A,E,C,F,A,A,D,D,0
F,18.0,A,E,F,F,A,A,A,A,1
M,18.0,C,D,F,D,A,A,E,A,0
M,20.0,A,E,D,B,A,A,A,A,0
M,18.0,A,F,E,F,A,A,A,A,1
M,19.0,A,F,F,D,A,A,A,A,0
M,18.0,A,C,F,E,A,A,A,A,0
M,20.0,A,E,F,C,A,A,A,D,1
M,17.0,A,F,F,E,F,A,E,A,1
M,18.0,A,E,F,E,A,A,A,A,0
M,18.0,C,D,E,E,A,F,A,A,0
M,17.0,A,F,D,E,F,B,D,A,0
M,18.0,A,E,F,F,A,A,A,A,0
M,18.0,A,C,D,E,A,A,A,A,0
M,18.0,A,E,D,F,A,F,A,A,0
M,18.0,A,F,D,F,A,A,C,A,0
M,18.0,A,E,D,C,A,A,E,C,1
F,18.0,A,C,D,D,A,A,A,A,0
M,19.0,A,D,E,D,A,A,D,A,0
M,18.0,A,D,D,C,A,A,D,A,1
F,19.0,B,D,C,A,F,A,A,F,0
M,18.0,A,D,D,D,A,A,A,A,0
M,22.0,C,A,C,C,A,A,E,A,1
M,24.0,C,D,D,A,A,A,A,A,0
M,19.0,C,D,D,B,A,A,C,A,0
M,29.0,C,B,B,C,A,A,C,E,0
M,18.0,A,D,D,B,A,A,A,A,0
M,18.0,C,E,E,D,A,A,A,A,0
M,20.0,C,D,D,C,A,A,A,A,0
M,19.0,C,C,F,D,A,A,A,D,0
M,19.0,C,D,C,E,A,A,A,A,0
M,21.0,A,D,D,B,A,A,A,D,0
M,24.0,E,B,D,A,F,A,A,C,0
M,18.0,A,E,F,F,A,A,A,A,0
M,19.0,C,D,D,B,A,A,A,D,0
F,19.0,C,E,B,B,A,A,A,E,0
M,18.0,A,E,F,E,A,A,A,A,0
F,19.0,C,E,E,A,B,C,A,D,0
M,19.0,C,C,D,A,A,A,C,A,0
M,19.0,C,D,E,E,A,A,A,A,0
M,18.0,C,D,D,B,A,A,A,A,0
M,17.0,A,E,E,E,A,A,A,D,0
M,28.0,A,F,E,E,A,A,D,A,1
M,18.0,A,C,F,C,A,A,A,A,0
M,18.0,A,F,D,B,A,A,A,A,0
M,33.0,C,D,D,D,A,A,E,A,0
M,20.0,C,D,C,D,A,B,A,B,0
M,20.0,C,C,B,B,A,A,A,A,1
F,22.0,C,D,D,B,E,A,C,D,0
M,18.0,C,D,D,C,A,A,C,A,1
M,21.0,B,D,E,C,E,A,D,E,0
M,19.0,A,B,D,C,B,A,A,D,0
F,19.0,B,D,B,A,A,A,A,D,1
M,19.0,C,F,D,B,A,A,E,A,1
M,20.0,A,E,D,B,A,A,E,A,1
F,18.0,A,F,E,E,A,A,A,A,1
M,18.0,A,F,F,E,A,B,A,A,0
M,19.0,D,D,D,B,A,A,A,A,1
M,28.0,A,C,D,F,A,A,E,A,0
M,22.0,C,A,A,B,A,A,A,D,0
M,18.0,C,E,E,C,A,A,C,A,0
F,20.0,C,E,D,B,A,B,A,D,0
M,18.0,D,D,D,F,A,A,D,A,1
M,23.0,C,E,E,F,A,A,E,A,1
M,19.0,C,D,B,C,A,E,B,D,1
M,21.0,C,D,D,D,F,A,E,A,1
M,18.0,C,D,D,F,A,A,A,A,1
M,20.0,C,B,C,B,A,A,E,A,1
M,20.0,C,B,C,B,F,A,A,E,1
F,19.0,B,C,D,D,A,A,E,A,1
F,18.0,D,F,E,C,A,A,A,A,1
M,20.0,D,D,D,D,A,A,C,D,0
M,20.0,C,F,E,A,A,A,A,A,0
M,17.0,A,D,E,F,A,A,D,A,0
M,21.0,B,D,E,C,F,A,E,D,0
M,19.0,A,E,D,F,A,A,E,A,1
M,21.0,A,E,C,D,A,A,A,A,0
M,21.0,C,C,B,D,A,A,D,A,1
M,18.0,A,D,E,E,A,A,B,A,1
M,20.0,C,C,D,E,A,A,A,D,0
M,20.0,A,E,E,B,A,A,A,A,1
M,20.0,C,F,D,D,A,A,A,A,0
M,18.0,A,D,D,B,A,A,A,A,1
M,21.0,C,B,D,C,A,A,E,A,0
M,17.0,B,D,D,C,F,A,C,A,0
M,32.0,C,D,D,B,A,A,C,A,1
M,18.0,A,E,E,E,A,A,A,A,1
F,21.0,A,D,F,C,A,A,A,A,1
F,23.0,C,E,F,A,A,A,A,D,1
M,20.0,C,E,E,D,A,A,A,D,1
M,29.0,C,D,D,D,A,A,C,A,1
M,23.0,C,E,D,B,A,A,D,D,1
M,17.0,C,C,D,D,A,A,C,A,1
M,17.0,C,E,D,A,E,A,A,D,1
M,18.0,D,C,D,D,A,A,A,A,1
M,17.0,E,E,D,E,A,A,A,A,1
M,19.0,C,E,E,D,A,B,D,D,0
F,18.0,C,D,D,E,F,A,A,D,1
M,21.0,C,D,C,B,A,A,A,D,0
M,18.0,A,E,E,F,A,A,B,A,0
M,18.0,C,D,E,A,F,B,A,A,0
M,19.0,A,F,E,B,A,A,A,A,1
M,19.0,A,E,F,D,A,A,B,A,0
M,20.0,A,D,D,C,A,C,A,A,0
M,18.0,C,E,E,E,A,A,E,A,0
M,22.0,A,F,E,E,A,A,A,A,0
M,19.0,C,F,F,G,A,F,D,A,0
M,20.0,C,E,E,A,A,A,A,A,1
M,21.0,A,E,E,G,A,A,D,A,0
M,23.0,A,F,F,G,A,A,D,A,0
M,18.0,A,F,F,F,A,B,C,A,0
M,17.0,A,D,D,F,A,A,A,A,0
M,18.0,C,F,F,F,A,E,A,A,1
M,18.0,C,E,F,F,A,A,D,A,0
M,18.0,C,E,E,E,A,B,B,A,0
M,21.0,A,E,E,F,A,A,A,A,0
M,20.0,A,D,E,D,A,A,C,A,1
M,25.0,A,F,F,C,A,A,D,A,1
M,19.0,A,B,B,C,A,A,E,A,1
M,20.0,C,E,F,D,A,C,A,A,0
M,19.0,A,E,F,F,A,A,A,A,1
M,19.0,C,D,D,C,A,A,A,A,0
M,19.0,A,D,E,E,A,B,A,A,0
M,18.0,A,E,E,E,A,A,C,A,0
M,19.0,A,F,E,G,A,B,A,A,0
M,19.0,A,F,F,G,A,A,A,A,0
F,18.0,A,E,E,E,A,B,A,A,0
M,19.0,A,D,C,D,A,A,A,A,1
M,18.0,A,F,E,F,A,B,A,A,0
M,18.0,A,E,E,E,A,F,D,A,0
M,19.0,B,D,D,C,A,A,A,A,1
M,18.0,A,E,E,E,A,B,A,A,0
M,19.0,A,E,E,F,A,A,A,A,0
M,23.0,C,C,D,C,A,A,E,D,0
F,19.0,C,F,D,C,A,A,D,D,0
M,19.0,A,E,D,D,A,A,E,A,0
M,18.0,A,F,F,E,A,B,A,A,0
M,21.0,C,C,B,B,F,A,E,B,0
M,18.0,A,E,E,F,A,B,A,A,1
F,20.0,C,D,D,D,A,A,D,A,1
M,18.0,A,D,D,D,A,A,A,D,0
M,18.0,A,D,E,B,D,A,A,A,0
M,21.0,A,D,D,C,A,A,A,A,1
M,26.0,C,D,F,C,A,E,E,A,0
M,22.0,A,E,E,F,A,A,D,A,1
M,19.0,B,C,D,C,C,B,A,E,1
M,21.0,B,E,D,C,A,A,E,A,0
M,19.0,A,E,D,E,A,A,A,A,0
M,18.0,C,C,D,C,A,B,D,A,1
M,19.0,C,F,F,F,A,B,A,A,1
M,20.0,C,B,C,B,C,A,E,E,1
M,19.0,A,E,D,B,A,A,D,A,0
M,20.0,C,D,D,E,A,A,E,D,1
M,18.0,B,D,D,F,A,A,D,A,1
M,21.0,C,F,D,B,A,A,A,D,0
M,19.0,C,E,E,D,A,A,E,A,1
M,19.0,C,E,D,E,F,A,A,A,1
M,22.0,C,C,D,E,A,A,E,A,1
M,19.0,C,D,C,E,A,A,E,A,1
M,21.0,C,D,B,C,A,B,E,A,1
M,18.0,B,B,D,B,A,A,E,E,0
M,26.0,C,D,D,F,A,A,E,B,1
M,20.0,A,D,D,E,A,B,E,A,1
M,18.0,C,C,C,B,A,A,A,E,0
M,19.0,A,E,F,F,A,B,A,A,1
F,18.0,C,D,C,C,A,A,C,D,0
M,19.0,B,D,D,E,A,A,A,A,0
M,19.0,C,D,D,F,A,B,C,A,0
M,21.0,C,C,C,C,A,A,E,A,1
M,19.0,D,D,F,D,A,A,C,C,0
M,18.0,C,D,F,B,A,B,E,A,1
M,19.0,C,E,D,E,F,B,A,A,0
M,18.0,C,D,D,B,A,A,E,A,0
M,18.0,B,E,D,F,A,B,D,A,0
F,19.0,C,C,D,D,F,E,E,A,1
M,18.0,C,B,F,E,A,B,A,A,1
F,21.0,A,D,D,B,A,A,C,A,0
M,19.0,A,F,E,E,A,A,B,A,1
M,18.0,A,E,F,F,A,B,A,A,1
M,19.0,A,E,C,E,A,A,C,A,0
M,23.0,C,B,B,C,A,A,E,A,0
F,19.0,A,E,E,F,A,B,C,A,0
M,24.0,C,C,D,F,A,A,D,A,1
M,18.0,A,D,D,B,A,A,C,A,0
M,18.0,A,D,D,F,A,C,A,A,0
M,18.0,A,D,D,D,A,A,A,A,0
M,18.0,A,E,E,D,A,B,A,A,0
M,23.0,C,D,D,C,A,A,D,A,0
M,18.0,A,E,E,B,A,C,B,A,0
F,18.0,C,F,F,C,A,A,A,A,0
M,18.0,B,E,F,D,A,A,A,A,0
M,18.0,C,D,F,E,A,A,A,A,1
M,20.0,C,C,A,C,A,A,E,A,0
M,18.0,A,F,E,B,A,A,C,A,0
F,18.0,C,F,E,D,A,A,A,A,0
M,18.0,A,D,D,E,A,B,C,A,0
